|arrests|tags|stems
11083|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
11084|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11085|DUI|DUI|dui
11086|AGGRAVATED INDECENT LIBERTIES WITH CHILD|Child Exploitation|aggrav indec liberti child
11087|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
11088|UNLAWFUL SALE OF NON NARCOTICS|Narcotics / Other Drugs|unlaw sale non narcot
11089|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11090|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
11091|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
11092|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11093|PETIT THEFT|Theft|petit theft
11094|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11095|CRIMINAL TRESPASS|Trespass|crimin trespass
11096|LARCENY B FROM BUILDING|Larceny|larceni b build
11097|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11098|RUNAWAY|Runaway|runaway
11099|RUNAWAY|Runaway|runaway
11100|DUI|DUI|dui
11101|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
11102|NO DRIVER'S LICENSE|License|driver licens
11103|BATTERY|Battery|batteri
11104|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11105|AGGRAVATED BATTERY,|Battery|aggrav batteri
11106|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
11107|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11108|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
11109|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
11110|WRONG WAY ON ONE WAY STREET|Vehicle / Traffic Violation|wrong way one way street
11111|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
11112|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
11113|EMBEZZLEMENT AUTO|Embezzlement|embezzl auto
11114|BURGLARY AGGRAVATED NON RESIDENCE|Burglary|burglari aggrav non resid
11115|LARCENY B FROM BUILDING|Larceny|larceni b build
11116|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11117|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
11118|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11119|AGGRAVATED BATTERY,|Battery|aggrav batteri
11120|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11121|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
11122|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
11123|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
11124|ROBBERY, BANK, AGGRAVATED|Robbery|robberi bank aggrav
11125|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
11126|HIT AND RUN ATTENDED VEHICLE|Hit and Run|hit run attend vehicl
11127|DRIVE RIGHT SIDE/2 LANE|Vehicle / Traffic Violation|drive right side lane
11128|ROBBERY, BANK, AGGRAVATED|Robbery|robberi bank aggrav
11129|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11130|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11131|SEXUAL EXPLOITATION OF A CHILD|Child Exploitation|sexual exploit child
11132|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11133|DISPLAY ALTERED TAG|Vehicle / Traffic Violation|display alter tag
11134|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
11135|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11136|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
11137|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11138|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11139|PETIT THEFT|Theft|petit theft
11140|BATTERY SCHOOL EMPLOYEE|Battery|batteri school employe
11141|INTIMIDATION|Intimidation|intimid
11142|DISORDERLY CONDUCT ALL TYPES|Disturbance|disorderli conduct type
11143|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
11144|AUTO THEFT NOT RECOVERED|Theft|auto theft recov
11145|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
11146|BURGLARY NON RESIDENCE|Burglary|burglari non resid
11147|THEFT OF PROPERTY/SERVICE|Theft|theft properti servic
11148|BURGLARY RESIDENCE VEHICLE/PROPERTY TAKEN|Burglary|burglari resid vehicl properti taken
11149|AUTO THEFT NOT RECOVERED|Theft|auto theft recov
11150|BATTERY BODILY HARM|Battery|batteri bodili harm
11151|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11152|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
11153|BATTERY PHYSICAL CONTACT/RUDE MANNER|Battery|batteri physic contact rude manner
11154|ASSAULT|Assault|assault
11155|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11156|BURGLARY RESIDENCE|Burglary|burglari resid
11157|INTIMIDATION|Intimidation|intimid
11158|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
11159|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11160|RUNAWAY|Runaway|runaway
11161|BATTERY BODILY HARM|Battery|batteri bodili harm
11162|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11163|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11164|ASSAULT|Assault|assault
11165|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
11166|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
11167|TRAFFIC CONTROL SIGNALS|Vehicle / Traffic Violation|traffic control signal
11168|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
11169|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
11170|CRIMINAL TRESPASS|Trespass|crimin trespass
11171|LARCENY B FROM BUILDING|Larceny|larceni b build
11172|CONSUMPTION/POSSESSION OF LIQUOR OR CEREAL MALT BEVERAGE BY MINOR|Alcohol|consumpt possess liquor cereal malt beverag minor
11173|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11174|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
11175|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
11176|CONSUMPTION/POSSESSION OF LIQUOR OR CEREAL MALT BEVERAGE BY MINOR|Alcohol|consumpt possess liquor cereal malt beverag minor
11177|BATTERY BODILY HARM|Battery|batteri bodili harm
11178|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11179|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11180|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11181|AGGRAVATED BATTERY,|Battery|aggrav batteri
11182|BURGLARY AGGRAVATED RESIDENCE|Burglary|burglari aggrav resid
11183|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11184|CARRYING CONCEALED FIREARM|Firearms|carri conceal firearm
11185|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11186|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
11187|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11188|CARRY CONCEALED WEAPON|Weapons|carri conceal weapon
11189|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11190|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
11191|TAG REQUIRED|Vehicle / Traffic Violation|tag requir
11192|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11193|SPEED OVER LIMIT|Speed Limit|speed limit
11194|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11195|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11196|BATTERY|Battery|batteri
11197|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11198|BATTERY SCHOOL EMPLOYEE|Battery|batteri school employe
11199|BATTERY BODILY HARM|Battery|batteri bodili harm
11200|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11201|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
11202|NO DRIVER'S LICENSE|License|driver licens
11203|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
11204|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
11205|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11206|UNLAWFUL USE OF FINANCIAL CARD|Fraud|unlaw use financi card
11207|CRIMINAL TRESPASS|Trespass|crimin trespass
11208|RUNAWAY|Runaway|runaway
11209|AGGRAVATED BATTERY|Battery|aggrav batteri
11210|RUNAWAY|Runaway|runaway
11211|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11212|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
11213|SPEED OVER LIMIT|Speed Limit|speed limit
11214|DUI|DUI|dui
11215|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
11216|DUI SECOND|DUI|dui second
11217|AGGRAVATED ASSAULT DRIVE BY FIREARMS|Firearms|aggrav assault drive firearm
11218|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
11219|BATTERY BODILY HARM|Battery|batteri bodili harm
11220|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11221|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
11222|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11223|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
11224|ARSON NON DWELLING|Arson|arson non dwell
11225|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11226|WINDSHIELD OBSCURED|Vehicle / Traffic Violation|windshield obscur
11227|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
11228|NO PROOF OF INSURANCE|Insurance|proof insur
11229|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
11230|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11231|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
11232|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
11233|SIMPLE ASSAULT|Assault|simpl assault
11234|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11235|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11236|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11237|RUNAWAY|Runaway|runaway
11238|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11239|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11240|VIOLATION OF COURT ORDER/CASE PENDING|Court Order|violat court order case pend
11241|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
11242|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11243|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
11244|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11245|NO PROOF OF INSURANCE|Insurance|proof insur
11246|IMPROPER RIGHT TURN|Vehicle / Traffic Violation|improp right turn
11247|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11248|NO PROOF OF INSURANCE|Insurance|proof insur
11249|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
11250|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11251|CIGARETTE/TOBACCO PRODUCTS VIOLATION|Narcotics / Other Drugs|cigarett tobacco product violat
11252|SPEED OVER LIMIT|Speed Limit|speed limit
11253|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11254|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11255|ROBBERY FROM PERSON|Robbery|robberi person
11256|HIT AND RUN INJURY ACCIDENT|Hit and Run|hit run injuri accid
11257|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11258|ROBBERY, HIGHWAY, AGGRAVATED|Robbery|robberi highway aggrav
11259|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
11260|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
11261|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
11262|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
11263|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
11264|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
11265|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11266|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
11267|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
11268|RUNAWAY|Runaway|runaway
11269|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11270|FAILURE TO REDUCE SPEED|Speed Limit|failur reduc speed
11271|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11272|WALK ON ROADWAY WHEN SIDEWALK PROVIDED|Vehicle / Traffic Violation|walk roadway sidewalk provid
11273|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
11274|DUI|DUI|dui
11275|EMERGING FROM ALLEY, DRIVEWAY, BUILDING|Vehicle / Traffic Violation|emerg alley driveway build
11276|DUI|DUI|dui
11277|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11278|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
11279|EVADE/ELUDE POLICE|Elusion|evad elud polic
11280|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11281|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
11282|AGGRAVATED ASSAULT|Assault|aggrav assault
11283|STOLEN PROPERTY BUYING|Theft|stolen properti buy
11284|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11285|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
11286|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
11287|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
11288|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11289|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11290|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
11291|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11292|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
11293|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11294|AGGRAVATED ASSAULT|Assault|aggrav assault
11295|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11296|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
11297|SPEED OVER LIMIT|Speed Limit|speed limit
11298|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11299|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11300|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
11301|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11302|CRIMINAL TRESPASS|Trespass|crimin trespass
11303|CRIMINAL DAMAGE TO PROPERTY|Property Damage|crimin damag properti
11304|CARRYING CONCEALED FIREARM|Firearms|carri conceal firearm
11305|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11306|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
11307|PETIT THEFT|Theft|petit theft
11308|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11309|PETIT THEFT|Theft|petit theft
11310|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
11311|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
11312|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11313|ROBBERY FROM PERSON|Robbery|robberi person
11314|AGGRAVATED ASSAULT|Assault|aggrav assault
11315|AGGRAVATED ASSAULT FIREARMS|Firearms|aggrav assault firearm
11316|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
11317|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11318|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11319|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
11320|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11321|CRIMINAL TRESPASS|Trespass|crimin trespass
11322|TAMPER WITH AUTO WITHOUT OWNER PERMISSION|Property Damage|tamper auto without owner permiss
11323|CRIMINAL TRESPASS|Trespass|crimin trespass
11324|LIGHTS REQUIRED SUNSET TO SUNRISE|Vehicle / Traffic Violation|light requir sunset sunris
11325|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
11326|DUI|DUI|dui
11327|AUTO THEFT NOT RECOVERED|Theft|auto theft recov
11328|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
11329|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
11330|TRAFFIC CONTROL SIGNALS|Vehicle / Traffic Violation|traffic control signal
11331|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
11332|TAIL LAMPS|Vehicle / Traffic Violation|tail lamp
11333|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11334|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11335|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
11336|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11337|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
11338|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
11339|BATTERY|Battery|batteri
11340|BATTERY|Battery|batteri
11341|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11342|AGGRAVATED BATTERY,|Battery|aggrav batteri
11343|BATTERY|Battery|batteri
11344|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
11345|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11346|PURCHASING SEXUAL RELATIONS|Procurement|purchas sexual relat
11347|ANTI SEX TRAFFICKING EMPHASIS AREA|Human Trafficking|anti sex traffick emphasi area
11348|LOITERING FOR PURPOSE OF SOLICITING|Trespass|loiter purpos solicit
11349|ANTI SEX TRAFFICKING EMPHASIS AREA|Human Trafficking|anti sex traffick emphasi area
11350|HIRING A PERSON SELLING SEXUAL RELATIONS WHO IS 18 OR OLDER|Procurement|hire person sell sexual relat older
11351|ANTI SEX TRAFFICKING EMPHASIS AREA|Human Trafficking|anti sex traffick emphasi area
11352|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11353|BIKE OBSERVE TRAFFIC REGULATIONS|Vehicle / Traffic Violation|bike observ traffic regul
11354|TRAFFIC OF CONTRABAND IN A CORRECTIONAL INSTITUTION|Vehicle / Traffic Violation|traffic contraband correct institut
11355|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11356|CRIMINAL TRESPASS|Trespass|crimin trespass
11357|HIRING A PERSON SELLING SEXUAL RELATIONS WHO IS 18 OR OLDER|Procurement|hire person sell sexual relat older
11358|ANTI SEX TRAFFICKING EMPHASIS AREA|Human Trafficking|anti sex traffick emphasi area
11359|HIRING A PERSON SELLING SEXUAL RELATIONS WHO IS 18 OR OLDER|Procurement|hire person sell sexual relat older
11360|ANTI SEX TRAFFICKING EMPHASIS AREA|Human Trafficking|anti sex traffick emphasi area
11361|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
11362|HIRING A PERSON SELLING SEXUAL RELATIONS WHO IS 18 OR OLDER|Procurement|hire person sell sexual relat older
11363|ANTI SEX TRAFFICKING EMPHASIS AREA|Human Trafficking|anti sex traffick emphasi area
11364|HIRING A PERSON SELLING SEXUAL RELATIONS WHO IS 18 OR OLDER|Procurement|hire person sell sexual relat older
11365|ANTI SEX TRAFFICKING EMPHASIS AREA|Human Trafficking|anti sex traffick emphasi area
11366|PETIT THEFT|Theft|petit theft
11367|HIRING A PERSON SELLING SEXUAL RELATIONS WHO IS 18 OR OLDER|Procurement|hire person sell sexual relat older
11368|ANTI SEX TRAFFICKING EMPHASIS AREA|Human Trafficking|anti sex traffick emphasi area
11369|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11370|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11371|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
11372|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
11373|NO PROOF OF INSURANCE|Insurance|proof insur
11374|PETIT THEFT|Theft|petit theft
11375|DUI|DUI|dui
11376|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
11377|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
11378|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11379|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
11380|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
11381|HIRING A PERSON SELLING SEXUAL RELATIONS WHO IS 18 OR OLDER|Procurement|hire person sell sexual relat older
